point_id,x,y,freq_hz,field_db,noise_db,device_id,calib_version
P62,13.0,34.0,4000,-13.3,-37.3,FSM-02,CAL-2026A
P62,13.0,34.0,5000,-13.6,-37.6,FSM-02,CAL-2026A
P63,18.0,34.0,100,-5.6,-37.1,FSM-01,CAL-2025B
P63,18.0,34.0,500,-6.7,-37.9,FSM-01,CAL-2025B
P63,18.0,34.0,1000,-7.0,-38.4,FSM-01,CAL-2025B
P63,18.0,34.0,2000,-7.1,-37.1,FSM-01,CAL-2025B
P63,18.0,34.0,4000,-8.0,-38.0,FSM-01,CAL-2025B
P63,18.0,34.0,5000,-7.5,-37.7,FSM-01,CAL-2025B
P64,23.0,34.0,100,-5.9,-38.2,FSM-02,CAL-2026A
P64,23.0,34.0,500,-7.7,-38.3,FSM-02,CAL-2026A
P64,23.0,34.0,1000,-7.3,-37.7,FSM-02,CAL-2026A
P64,23.0,34.0,2000,-7.3,-38.6,FSM-02,CAL-2026A
P64,23.0,34.0,4000,-8.4,-37.1,FSM-02,CAL-2026A
P64,23.0,34.0,5000,-8.5,-37.6,FSM-02,CAL-2026A
P65,28.0,34.0,100,-5.9,-37.1,FSM-01,CAL-2025B
P65,28.0,34.0,500,-7.0,-38.5,FSM-01,CAL-2025B
P65,28.0,34.0,1000,-7.4,-37.9,FSM-01,CAL-2025B
P65,28.0,34.0,2000,-7.1,-38.8,FSM-01,CAL-2025B
P65,28.0,34.0,4000,-7.7,-37.2,FSM-01,CAL-2025B
P65,28.0,34.0,5000,-8.1,-38.8,FSM-01,CAL-2025B
P66,33.0,34.0,100,-4.4,-38.0,FSM-02,CAL-2026A
P66,33.0,34.0,500,-6.0,-38.0,FSM-02,CAL-2026A
P66,33.0,34.0,1000,-6.4,-37.3,FSM-02,CAL-2026A
P66,33.0,34.0,2000,-5.8,-38.5,FSM-02,CAL-2026A
P66,33.0,34.0,4000,-7.2,-38.2,FSM-02,CAL-2026A
P66,33.0,34.0,5000,-6.9,-38.0,FSM-02,CAL-2026A
P67,38.0,34.0,100,-3.7,-37.3,FSM-01,CAL-2025B
P67,38.0,34.0,500,-5.7,-37.4,FSM-01,CAL-2025B
P67,38.0,34.0,1000,-5.6,-37.1,FSM-01,CAL-2025B
P67,38.0,34.0,2000,-5.5,-37.4,FSM-01,CAL-2025B
P67,38.0,34.0,4000,-6.7,-38.4,FSM-01,CAL-2025B
P67,38.0,34.0,5000,-6.5,-37.0,FSM-01,CAL-2025B
P68,43.0,34.0,100,-4.3,-38.7,FSM-02,CAL-2026A
P68,43.0,34.0,500,-5.8,-38.3,FSM-02,CAL-2026A
P68,43.0,34.0,1000,-5.7,-37.9,FSM-02,CAL-2026A
P68,43.0,34.0,2000,-5.8,-38.4,FSM-02,CAL-2026A
P68,43.0,34.0,4000,-7.0,-37.6,FSM-02,CAL-2026A
P68,43.0,34.0,5000,-6.7,-38.5,FSM-02,CAL-2026A
P69,48.0,34.0,100,-5.0,-38.9,FSM-01,CAL-2025B
P69,48.0,34.0,500,-6.5,-37.6,FSM-01,CAL-2025B
P69,48.0,34.0,1000,-6.4,-38.2,FSM-01,CAL-2025B
P69,48.0,34.0,2000,-6.5,-37.4,FSM-01,CAL-2025B
P69,48.0,34.0,4000,-7.3,-38.0,FSM-01,CAL-2025B
P69,48.0,34.0,5000,-8.0,-38.0,FSM-01,CAL-2025B
P70,53.0,34.0,100,-5.8,-37.3,FSM-02,CAL-2026A
P70,53.0,34.0,500,-7.1,-38.1,FSM-02,CAL-2026A
P70,53.0,34.0,1000,-7.4,-38.1,FSM-02,CAL-2026A
P70,53.0,34.0,2000,-7.2,-38.2,FSM-02,CAL-2026A
P70,53.0,34.0,4000,-8.3,-38.7,FSM-02,CAL-2026A
P70,53.0,34.0,5000,-8.4,-37.1,FSM-02,CAL-2026A
P-OOB,-3.0,20.0,100,-7.0,-38.0,FSM-01,CAL-2025B
P-OOB,-3.0,20.0,500,-7.0,-38.0,FSM-01,CAL-2025B
P-OOB,-3.0,20.0,1000,-7.0,-38.0,FSM-01,CAL-2025B
P-OOB,-3.0,20.0,2000,-7.0,-38.0,FSM-01,CAL-2025B
P-OOB,-3.0,20.0,4000,-7.0,-38.0,FSM-01,CAL-2025B
P-OOB,-3.0,20.0,5000,-7.0,-38.0,FSM-01,CAL-2025B
P-DUP,8.2,10.1,100,-6.5,-38.0,FSM-01,CAL-2025B
P-DUP,8.2,10.1,500,-6.5,-38.0,FSM-01,CAL-2025B
P-DUP,8.2,10.1,1000,-6.5,-38.0,FSM-01,CAL-2025B
P-DUP,8.2,10.1,2000,-6.5,-38.0,FSM-01,CAL-2025B
P-DUP,8.2,10.1,4000,-6.5,-38.0,FSM-01,CAL-2025B
P-DUP,8.2,10.1,5000,-6.5,-38.0,FSM-01,CAL-2025B
P-MISS,30.0,22.0,100,-6.8,-37.5,FSM-02,CAL-2026A
P-MISS,30.0,22.0,500,-6.8,-37.5,FSM-02,CAL-2026A
P-MISS,30.0,22.0,1000,-6.8,-37.5,FSM-02,CAL-2026A
P-MISS,30.0,22.0,2000,-6.8,-37.5,FSM-02,CAL-2026A
